#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-388843.6064251456,82820.09898421426,-306023.50744093134,273.9653272193059
20,-382270.76467030053,76250.45905384798,-306020.30561645253,252.2332407413741
30,-382962.5105115576,76936.12586863042,-306026.38464292715,254.5013970896428
40,-383122.76102231245,77092.14480012158,-306030.6162221909,255.01750100816784
50,-377191.08336977655,71165.10762798991,-306025.97574178665,235.41111683065625
60,-371487.7338810798,65466.55211590722,-306021.18176517263,216.56054016275485
70,-372682.1824259938,66656.80130261928,-306025.3811233745,220.49783330668402
80,-374751.1681304288,68718.13734562117,-306033.03078480763,227.31664432546344
90,-367819.47487279936,61789.1639575403,-306030.31091525906,204.39589821622178
100,-356128.413286706,50108.90710016737,-306019.50618653867,165.75811063587076
110,-354407.9809624595,48390.474552111504,-306017.506410348,160.07360963784413
120,-365005.97340575635,58977.19069268236,-306028.782713074,195.0940115354828
130,-371716.32001968846,65679.10563370519,-306037.2143859833,217.26365806250806
140,-362976.19331037026,56947.2785377405,-306028.91477262974,188.37914938757484
150,-350060.09596936987,44044.05754139925,-306016.0384279706,145.69584900756155
160,-351025.98460959183,45008.58607867852,-306017.3985309133,148.88646794631023
170,-363836.14523309923,57805.480039097805,-306030.6651940014,191.2180430622161
180,-369984.82268477575,63949.17988731412,-306035.6427974616,211.54113805845125
190,-363040.7723935562,57015.65687111308,-306025.1155224431,188.60534197496474
200,-357338.1415527047,51320.91526970456,-306017.22628300014,169.7673815596234
210,-363526.2776315906,57501.28689525539,-306024.9907363352,190.21178521885687
220,-370896.90299810807,64861.54928849481,-306035.35370961326,214.55921681717132
230,-365539.03496558894,59509.18745684204,-306029.8475087469,196.8538339621669
240,-354800.79630625894,48784.37794823969,-306016.41835801926,161.3766251393545
250,-357060.0965991227,51043.313617094194,-306016.7829820285,168.84908722616078
260,-371568.0276837513,65535.49614754772,-306032.5315362036,216.78860405569714
270,-377000.6072388824,70961.03955706074,-306039.56768182165,234.73606842437772
280,-363620.2109029187,57594.01808537003,-306026.1928175487,190.5185360094836
290,-349720.29753285594,43708.178432608314,-306012.1191002476,144.58477535424973
300,-355008.4865915298,48990.122585226025,-306018.3640063038,162.05721955407887
310,-370734.8196407956,64699.089626136934,-306035.73001465865,214.02180723780947
320,-373074.987787805,67037.2729354069,-306037.7148523981,221.75641711246033
330,-359321.8034162358,53299.726831381566,-306022.0765848542,176.31320514169275
340,-350865.816136176,44852.126943235926,-306013.6891929401,148.3689078520371
350,-359244.19854642695,53218.89429662807,-306025.3042497989,176.04581459150845
360,-369026.6235096623,62989.102311148745,-306037.52119851357,208.3652427077321
370,-363844.2289733721,57813.523672149444,-306030.7053012226,191.2446510545761
380,-353144.4859980975,47128.22282915035,-306016.2631689472,155.89813519920455
390,-356237.2844925158,50218.255753380115,-306019.02873913565,166.11983128008453
400,-369359.9339101741,63324.61398610247,-306035.31992407166,209.4751009057055
410,-370085.60236411256,64046.651436519445,-306038.9509275931,211.8635697531743
420,-353692.82990527526,47670.4801672597,-306022.34973801556,157.69189916343882
430,-343231.40925325605,37221.34266050517,-306010.0665927509,123.12660147231716
440,-355144.6119238987,49122.623975402304,-306021.98794849636,162.49552845689215
450,-373082.68965648935,67041.88567637956,-306040.8039801098,221.77167586130815
460,-371501.27334751125,65463.08098484715,-306038.1923626641,216.549057810423
470,-353732.0906129399,47713.27800400827,-306018.8126089316,157.83347256763548
480,-346280.21865431615,40267.95399177492,-306012.2646625412,133.2046607902667
490,-358536.8584831389,52509.603181861465,-306027.25530127744,173.69951007443927
500,-370112.9330804867,64073.27748696562,-306039.6555935211,211.95164758346564
510,-363939.88134528336,57909.19768707364,-306030.68365820975,191.5611365831685
520,-352083.21058586956,46067.84440853087,-306015.3661773387,152.39044896670345
530,-354720.5990410315,48701.8533253174,-306018.7457157141,161.1036372342463
540,-367341.56832149904,61306.91215533686,-306034.65616616217,202.80062998528248
550,-368535.0911225843,62498.25419784177,-306036.83692474256,206.74153824919537
560,-355344.7210635118,49323.46163359584,-306021.2594299159,163.15989079670823
570,-349124.7332063299,43112.06803845001,-306012.6651678799,142.61286779560822
580,-361627.8428990997,55602.25439195892,-306025.58850714075,183.92986733241628
590,-374996.1648654597,68955.55902148935,-306040.6058439704,228.1020250230955
600,-368365.29525580787,62330.91266057901,-306034.38259522885,206.18797963750723
610,-350288.7889579712,44272.76036046473,-306016.02859750646,146.45238810169127
620,-346460.8321172962,40447.70640146152,-306013.12571583467,133.79927403442173
630,-361437.3011046374,55407.88162325818,-306029.4194813792,183.28689056913362
640,-372805.3564572247,66765.12069734275,-306040.23575988197,220.8561492080604
