#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-387904.12382014596,82183.5721865535,-305720.55163359246,271.85972393527425
20,-381205.5125198539,75384.7426562779,-305820.769863576,249.36948811310674
30,-383189.6541105911,78942.38033368741,-304247.2737769037,261.13800061639415
40,-383114.396482785,83152.95881847882,-299961.4376643062,275.0664132422752
50,-372478.4161294253,78549.18211805414,-293929.23401137115,259.8373178216471
60,-360063.7703511808,71478.14097519421,-288585.6293759866,236.4466176867193
70,-358942.24961726746,72642.05099880174,-286300.1986184657,240.29678201135073
80,-365640.9480828583,78004.54085138152,-287636.40723147674,258.0356679242044
90,-364684.5574267139,74615.15359783867,-290069.4038288752,246.82372059042012
100,-351192.84596704197,63017.86296589628,-288174.9830011457,208.46038171729128
110,-335021.56883817626,58817.75855750843,-276203.81028066785,194.56661688589995
120,-320577.66884330957,68328.73573102789,-252248.93311228167,226.02852052375067
130,-297489.26607105864,76882.64927637004,-220606.6167946886,254.32449882126497
140,-260177.50310143645,70258.37762909647,-189919.12547233998,232.41169297227918
150,-225528.10193205986,56736.455388671355,-168791.6465433885,187.68175547319248
160,-216663.39828638048,54995.608133880494,-161667.79015249998,181.9231075888364
170,-232345.0966515415,65902.52018893803,-166442.57646260347,218.0027038072081
180,-246112.66124838567,71836.21545825142,-174276.44579013425,237.63111268398256
190,-236378.5992144772,64798.54878486147,-171580.05042961572,214.3508138593799
200,-203849.26885955248,58850.531525513456,-144998.73733403903,194.67502845523595
210,-155906.3660949784,66529.10641238179,-89377.25968259662,220.07542409904934
220,-90453.11089379038,77236.07344614311,-13217.037447647264,255.4936107820892
230,-8817.159602456028,73758.63477524552,64941.47517278949,243.99039314479668
240,65655.76628723956,61203.0941341277,126858.86042136725,202.45720443398903
250,102543.92703814944,60870.50839715593,163414.43543530538,201.35702511308153
260,100895.6402122667,76992.44186231613,177888.08207458284,254.68768797587714
270,96517.60428079584,88763.34414995422,185280.94843075005,293.62532674293425
280,127731.66784639918,81755.0165615568,209486.68440795597,270.44208035027594
290,206009.2016764324,70260.31483719617,276269.51651362854,232.41810117339745
300,325520.49961067055,74889.9288855625,400410.4284962331,247.7326654303362
310,484212.2528860064,90578.25525018925,574790.5081361956,299.62897464420774
320,677172.0814184205,95904.50217070982,773076.5835891303,317.2479704957989
330,876597.6169201324,87959.39134548868,964557.0082656211,290.9658854256006
340,1042459.1961141997,86509.2863897257,1128968.4825039255,286.1690005681741
350,1162810.272911714,102271.51379672503,1265081.786708439,338.30977125340075
360,1274131.1810005694,125006.25189301558,1399137.432893585,413.5153075687175
370,1433799.5375664167,123262.04781525489,1557061.5853816716,407.74555545827826
380,1676229.1084316834,118383.49106069467,1794612.599492378,391.6074994306491
390,2009667.2966373973,131925.94233679064,2141593.238974188,436.4053460972452
400,2445974.635880077,158197.39489909957,2604172.0307791764,523.310181832002
