#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-387904.12368229,82183.57218736071,-305720.5514949293,271.85972393794447
20,-381205.51294737763,75384.742656492,-305820.77029088564,249.36948811381498
30,-383189.6545622082,78942.38032279776,-304247.2742394105,261.1380005803717
40,-383114.3963336035,83152.95881688996,-299961.4375167135,275.06641323701933
50,-372478.41593685315,78549.18211595445,-293929.2338208987,259.8373178147014
60,-360063.77062528994,71478.1409702032,-288585.6296550867,236.4466176702092
70,-358942.249717531,72642.05100200111,-286300.1987155299,240.29678202193415
80,-365640.94763818494,78004.54084322942,-287636.4067949555,258.03566789723766
90,-364684.558313254,74615.15359923932,-290069.4047140147,246.82372059505343
100,-351192.84731286287,63017.86295948916,-288174.9843533737,208.4603816960968
110,-335021.5693734107,58817.75855107142,-276203.8108223393,194.56661686460657
120,-320577.66786941973,68328.73571052898,-252248.93215889076,226.02852045594116
130,-297489.2653854516,76882.64923900891,-220606.6161464427,254.32449869767598
140,-260177.50274502768,70258.37759474592,-189919.12515028176,232.41169285864905
150,-225528.1019584175,56736.45537836291,-168791.6465800546,187.6817554390926
160,-216663.39869988343,54995.60811319082,-161667.7905866926,181.92310752039583
170,-232345.09471220415,65902.5201650149,-166442.57454718926,218.00270372807142
180,-246112.66064479496,71836.21544017458,-174276.44520462037,237.63111262418516
190,-236378.60184480122,64798.54878664174,-171580.05305815948,214.35081386526895
200,-203849.2687500302,58850.5315402763,-144998.7372097539,194.6750285040708
210,-155906.36533972723,66529.1064327681,-89377.25890695913,220.07542416648636
220,-90453.11090293428,77236.07346581531,-13217.037437118968,255.49361084716398
230,-8817.159948339977,73758.63477771636,64941.474829376384,243.9903931529701
240,65655.76731834706,61203.09414296912,126858.86146131618,202.45720446323608
250,102543.93039616907,60870.50841935166,163414.43881552073,201.35702518650407
260,100895.64109231345,76992.44188756538,177888.08297987882,254.6876880594006
270,96517.60613481031,88763.3441125304,185280.95024734072,293.6253266191378
280,127731.66624277702,81755.01651516341,209486.68275794043,270.4420801968086
290,206009.20012525062,70260.31483337836,276269.514958629,232.41810116076832
300,325520.50021598494,74889.92892168128,400410.42913766624,247.73266554981555
310,484212.2571100405,90578.25523896549,574790.512349006,299.62897460708
320,677172.0819985475,95904.5021343961,773076.5841329437,317.24797037567464
330,876597.618641255,87959.39132779361,964557.0099690486,290.9658853670661
340,1042459.1925370689,86509.28648799116,1128968.47902506,286.16900089323207
350,1162810.274055852,102271.51392835983,1265081.787984212,338.3097716888429
360,1274131.2113445003,125006.25174108299,1399137.4630855834,413.5153070661311
370,1433799.548519411,123262.0538164619,1557061.6023358728,407.7455753100132
380,1676229.1043105833,118383.49676480213,1794612.6010753855,391.60751829959133
390,2009667.2879007407,131925.9479665659,2141593.2358673066,436.4053647202997
400,2445974.663359911,158197.4091412975,2604172.0725012086,523.3102289445804
410,2959278.665009236,180565.01429858533,3139843.679307821,597.3013052797656
420,3621069.2720260685,431332.14737201267,4052401.419398081,1426.8282016603587
430,4517926.230411514,522756.64578684006,5040682.876198354,1729.2565123153984
440,5657140.910545624,549005.4021869086,6206146.312732533,1816.0862701211129
450,7019285.231737591,601433.87448745,7620719.106225042,1989.5174027277508
460,8679122.699319853,712661.8572343898,9391784.556554243,2357.454788253175
470,10790048.852660278,829871.3431348153,11619920.195795093,2745.1787290810803
480,13468812.99204387,896949.2015051653,14365762.193549035,2967.0694010676702
490,16748691.866945654,925460.5759025798,17674152.442848235,3061.383801944547
500,20587155.821245454,1372874.4629731677,21960030.28421862,4541.409707215663
510,25284319.05423989,1602298.798181921,26886617.852421813,5300.335545731239
520,30882744.046405815,2300692.507148101,33183436.553553917,7610.591912863731
530,37948167.98584828,3702776.032390603,41650944.01823888,12248.623942444796
540,47244374.834519655,4462436.399912475,51706811.23443213,14761.54778238534
550,59845328.42776703,8199505.856830622,68044834.28459765,27123.6128989822
560,78796768.69049627,10651650.611204986,89448419.30170125,35235.202335132526
570,105123788.74870549,11153320.380104367,116277109.12880985,36894.704365174155
580,139265661.89833477,14028759.361806301,153294421.26014107,46406.532909007095
590,193584091.30076775,142649887.71648085,336233979.01724863,471879.6964187629
600,3.5917955445394616e+19,7.11520827565411e+21,7.151126231099505e+21,2.353680311158089e+19
610,6.340615577092042e+20,1.1788063688072605e+28,1.1788064322134163e+28,3.899440794197051e+25
620,2.8321705193534164e+29,1.4672264481409526e+32,1.470058618660306e+32,4.853522018204451e+29
630,2.1654694431071253e+32,5.901747188850116e+35,5.9039126582932234e+35,1.9522725999966763e+33
640,4.8504717234802916e+39,1.0574702975703096e+41,1.1059750148051125e+41,3.4980662864670835e+38
