#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,-334181.65346299775,223229.66055661134,-110951.99290638641,738.434121059229
2,-53662.831790225726,372224.93854610226,318562.10675587656,1231.3040957292985
3,477287.18219875597,308515.99160115066,785803.1737999066,1020.5576379171935
4,951136.6207177697,131572.80695070853,1082709.4276684783,435.23718942045656
5,971536.0880030167,112605.5463285562,1084141.6343315728,372.49430663553915
6,522751.03887500457,276557.68006732274,799308.7189423273,914.8409171679162
7,-10790.88755520407,367920.5067399635,357129.61918475945,1217.0652203509103
8,-298248.445444468,243139.36363270157,-55109.08181176643,804.2945629686252
9,-359803.9240807085,93086.32471725273,-266717.5993634557,307.92556062587585
10,-346750.8634284123,149416.5244987005,-197334.33892971178,494.2634400142438
11,-224945.38800311426,323989.004883528,99043.61688041373,1071.741700710733
12,117757.73242061716,343625.76323897176,461383.49565958895,1136.6992532174136
13,540743.3199790862,176499.7932807713,717243.1132598575,583.8537289061067
14,691872.0859577366,83248.9001370293,775120.9860947658,275.3837829997726
15,432416.4823436311,208262.16603725546,640678.6483808865,688.9222926028289
16,24976.302022234187,356196.9492267703,381173.2512490045,1178.2841960624883
17,-193618.36820769473,297194.2709993957,103575.90279170097,983.1058728578864
18,-192006.5296838714,121447.29044608382,-70559.23923778758,401.7424160927559
19,-164093.13887068932,100839.93062783977,-63253.20824284955,333.57415567076225
20,-164309.09928742872,269964.138141181,105655.03885375231,893.0297639154438
21,-44520.3235983761,369960.9993678649,325440.6757694888,1223.8150822485416
22,230446.302907208,247042.1379288406,477488.44083604857,817.204772570145
23,432930.7875887415,94523.974963435,527454.7625521765,312.6812458394049
24,365152.39926091454,153877.10389096342,519029.50315187796,509.01884489515237
25,155422.71978558536,334700.72746975743,490123.4472553428,1107.1756185569086
26,99927.21874738229,356900.10856384836,456827.32731123065,1180.610216922553
27,267699.74197546666,189129.37839627895,456829.1203717456,625.6318535552167
28,437992.23700426274,95440.96082431864,533433.1978285813,315.7145956483727
29,449860.52415152604,225212.82630807583,675073.3504596018,744.9943481139402
30,422894.74248891626,382165.8517957583,805060.5942846746,1264.1882094251762
31,531845.1054314226,327917.19800215034,859762.3034335729,1084.7359946843387
32,731971.3411333553,153871.6371855228,885842.9783188781,509.0007612685542
33,868320.794278178,250987.85861640426,1119308.6528945824,830.2570469883439
34,1109167.207934161,693333.0163912737,1802500.2243254348,2293.515813640702
35,1743340.8775241124,664549.974751972,2407890.8522760845,2198.30274920593
36,2644677.9737237543,579925.6221134906,3224603.5958372448,1918.3690284584766
37,3612467.4583271234,584945.5063336209,4197412.964660744,1934.9745896669117
38,4592503.139875,701137.3995122713,5293640.539387272,2319.3323775148465
39,5715361.995395191,773714.0906486115,6489076.086043803,2559.412951910825
40,7071225.934607689,752603.8001561917,7823829.734763881,2489.5810184383386
