#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,3138804.589120833,4908460.464019546,8047265.0531403795,16236.976213038017
2,18219303.660855725,4011166.3670541504,22230470.027909875,13268.765912614062
3,8681157.880313922,21007355.081579223,29688512.961893145,69491.42755835119
4,53103838.77225151,23823063.834285755,76926902.60653727,78805.67107231439
5,174898707.81945965,29231160.3982081,204129868.21766776,96695.42202577548
6,388557662.3731738,33249649.89942318,421807312.27259696,109988.41255139142
7,719455936.5228792,37849797.988677494,757305734.5115567,125205.5046822525
8,1179633064.154932,68653503.251168,1248286567.4061,227102.8375194638
9,1820712065.4343276,1493003277867.5452,1494823989932.9795,4938790662.861207
10,1031014504319.7168,123275241089306.25,124306255593625.97,407789198241.6957
11,100122147114681.19,2894761405082685.5,2994883552197366.5,9575746289755.773
12,1876343672755229.0,1.750664054413686e+16,1.938298421689209e+16,57911214355097.47
13,1.3685536322617185e+18,1.2275329462545896e+20,1.2412184825772068e+20,4.060626217764087e+17
14,8.623810731613433e+21,5.755965254957704e+22,6.618346328119047e+22,1.9040485629436533e+20
15,7.134887891142519e+33,6.575491045816734e+33,1.3710378936959255e+34,2.175144171631768e+31
16,3.888326806360587e+34,1.019024671848326e+47,1.0190246718487147e+47,3.3708898092561373e+44
