20: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
40: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
60: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
80: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
100: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
120: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
140: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
160: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
180: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
200: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
220: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
240: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
260: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
280: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
300: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
320: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
340: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
360: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
380: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
400: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
420: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
440: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
460: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
480: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
500: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
520: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
540: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
560: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
580: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
600: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
620: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
640: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
660: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
680: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
700: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
720: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
740: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
760: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
780: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
800: {'72717': 1240, '(4, 4) wkms': 120, '(8, 8) wkms': 120, '(12, 12) wkms': 120, }
