20: {'72717': 11420, '(80, 80) wkms': 140, }
40: {'72717': 11420, '(80, 80) wkms': 140, }
60: {'72717': 11420, '(80, 80) wkms': 140, }
80: {'72717': 11420, '(80, 80) wkms': 140, }
100: {'72717': 11420, '(80, 80) wkms': 140, }
120: {'72717': 11420, '(80, 80) wkms': 140, }
140: {'72717': 11420, '(80, 80) wkms': 140, }
160: {'72717': 11420, '(80, 80) wkms': 140, }
180: {'72717': 11420, '(80, 80) wkms': 140, }
200: {'72717': 11420, '(80, 80) wkms': 140, }
220: {'72717': 11420, '(80, 80) wkms': 140, }
240: {'72717': 11420, '(80, 80) wkms': 140, }
260: {'72717': 11420, '(80, 80) wkms': 140, }
280: {'72717': 11420, '(80, 80) wkms': 140, }
300: {'72717': 11420, '(80, 80) wkms': 140, }
320: {'72717': 11420, '(80, 80) wkms': 140, }
340: {'72717': 11420, '(80, 80) wkms': 140, }
360: {'72717': 11420, '(80, 80) wkms': 140, }
380: {'72717': 11420, '(80, 80) wkms': 140, }
400: {'72717': 11420, '(80, 80) wkms': 140, }
420: {'72717': 11420, '(80, 80) wkms': 140, }
440: {'72717': 11420, '(80, 80) wkms': 140, }
460: {'72717': 11420, '(80, 80) wkms': 140, }
480: {'72717': 11420, '(80, 80) wkms': 140, }
500: {'72717': 11420, '(80, 80) wkms': 140, }
520: {'72717': 11420, '(80, 80) wkms': 140, }
540: {'72717': 11420, '(80, 80) wkms': 140, }
560: {'72717': 11420, '(80, 80) wkms': 140, }
580: {'72717': 11420, '(80, 80) wkms': 140, }
600: {'72717': 11420, '(80, 80) wkms': 140, }
620: {'72717': 11420, '(80, 80) wkms': 140, }
640: {'72717': 11420, '(80, 80) wkms': 140, }
660: {'72717': 11420, '(80, 80) wkms': 140, }
680: {'72717': 11420, '(80, 80) wkms': 140, }
700: {'72717': 11420, '(80, 80) wkms': 140, }
720: {'72717': 11420, '(80, 80) wkms': 140, }
740: {'72717': 11420, '(80, 80) wkms': 140, }
760: {'72717': 11420, '(80, 80) wkms': 140, }
780: {'72717': 11420, '(80, 80) wkms': 140, }
800: {'72717': 11420, '(80, 80) wkms': 140, }
