2: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
4: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
6: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
8: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
10: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
12: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
14: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
16: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
18: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
20: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
22: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
24: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
26: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
28: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
30: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
32: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
34: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
36: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
38: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
40: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
42: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
44: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
46: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
48: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
50: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
52: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
54: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
56: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
58: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
60: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
62: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
64: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
66: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
68: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
70: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
72: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
74: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
76: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
78: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
80: {'72717': 136, '(4, 4) wkms': 12, '(8, 8) wkms': 12, '(12, 12) wkms': 12, '(16, 16) wkms': 6, }
