1: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
2: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
3: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
4: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
5: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
6: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
7: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
8: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
9: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
10: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
11: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
12: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
13: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
14: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
15: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
16: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
17: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
18: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
19: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
20: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
21: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
22: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
23: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
24: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
25: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
26: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
27: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
28: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
29: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
30: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
31: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
32: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
33: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
34: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
35: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
36: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
37: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
38: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
39: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
40: {'72717': 74, '(4, 4) wkms': 6, '(8, 8) wkms': 6, '(12, 12) wkms': 6, '(16, 16) wkms': 6, }
