1: {'72717': 571, '(80, 80) wkms': 7, }
2: {'72717': 571, '(80, 80) wkms': 7, }
3: {'72717': 571, '(80, 80) wkms': 7, }
4: {'72717': 571, '(80, 80) wkms': 7, }
5: {'72717': 571, '(80, 80) wkms': 7, }
6: {'72717': 571, '(80, 80) wkms': 7, }
7: {'72717': 571, '(80, 80) wkms': 7, }
8: {'72717': 571, '(80, 80) wkms': 7, }
9: {'72717': 571, '(80, 80) wkms': 7, }
10: {'72717': 571, '(80, 80) wkms': 7, }
11: {'72717': 571, '(80, 80) wkms': 7, }
12: {'72717': 571, '(80, 80) wkms': 7, }
13: {'72717': 571, '(80, 80) wkms': 7, }
14: {'72717': 571, '(80, 80) wkms': 7, }
15: {'72717': 571, '(80, 80) wkms': 7, }
